,,ZSP.TO,ZXLC.TO,ZXLY.TO,ZXLP.TO,ZXLE.TO,ZXLF.TO,ZXLV.TO,ZXLI.TO,ZXLR.TO,ZXLK.TO,ZXLB.TO,ZXLU.TO
cov_daily,ZSP.TO,8.272094312760659e-05,6.699105275583677e-06,4.174357427051185e-05,-2.419804366595934e-06,-4.026147524064151e-05,2.3777202282001106e-05,1.2274849045528218e-05,6.566003813731068e-05,7.710694412329605e-06,0.00012072980205192241,8.198773315467531e-06,6.448272435382957e-06
cov_daily,ZXLC.TO,6.699105275583677e-06,0.00011492738837902251,5.7841350262622384e-05,1.816297213996136e-05,-3.7732791068116344e-05,4.018225872013433e-05,9.753068057486807e-06,1.3602983485033566e-05,1.0639761045573032e-05,1.4863479785580262e-05,3.8663950345819406e-05,-1.6193586774908054e-07
cov_daily,ZXLY.TO,4.174357427051185e-05,5.7841350262622384e-05,0.00017409525082441303,1.2606910319641064e-05,-4.918625464511469e-05,2.909459727584874e-05,4.25017276923599e-06,5.228013918326542e-05,8.577667465510511e-06,7.12364526326903e-05,4.1940038360225297e-05,-2.283421611418911e-06
cov_daily,ZXLP.TO,-2.419804366595934e-06,1.816297213996136e-05,1.2606910319641064e-05,0.00010942386464740409,-1.7552774387201864e-06,2.5598773495126908e-05,5.025196211552369e-05,1.3511488517459246e-05,1.8488096767598454e-05,-5.034990365051568e-05,1.8847686172575798e-05,3.530150635396914e-05
cov_daily,ZXLE.TO,-4.026147524064151e-05,-3.7732791068116344e-05,-4.918625464511469e-05,-1.7552774387201864e-06,0.00022857997941679308,-9.035410469310004e-06,-2.4906607042364314e-05,-3.440779204019625e-05,-8.583837173404096e-06,-4.5639775928239786e-05,-2.317911573493233e-05,-5.310962544258939e-07
cov_daily,ZXLF.TO,2.3777202282001106e-05,4.018225872013433e-05,2.909459727584874e-05,2.5598773495126908e-05,-9.035410469310004e-06,0.00011790068863513982,2.683023059162832e-05,4.819629487795918e-05,1.1681909612914e-05,2.9097430269285095e-05,3.468754443899666e-05,3.239267103873959e-06
cov_daily,ZXLV.TO,1.2274849045528218e-05,9.753068057486807e-06,4.25017276923599e-06,5.025196211552369e-05,-2.4906607042364314e-05,2.683023059162832e-05,0.00014009665064370404,2.8401043548206522e-05,1.5135313341787989e-05,-4.741688499424965e-05,2.453549587330573e-05,2.6911852519087524e-05
cov_daily,ZXLI.TO,6.566003813731068e-05,1.3602983485033566e-05,5.228013918326542e-05,1.3511488517459246e-05,-3.440779204019625e-05,4.819629487795918e-05,2.8401043548206522e-05,0.0001416511281076248,-3.1943710436126085e-06,0.00010599443229132954,4.909881323767524e-05,2.648223304574193e-05
cov_daily,ZXLR.TO,7.710694412329605e-06,1.0639761045573032e-05,8.577667465510511e-06,1.8488096767598454e-05,-8.583837173404096e-06,1.1681909612914e-05,1.5135313341787989e-05,-3.1943710436126085e-06,9.611762862437783e-05,-4.186446017235055e-06,1.9627355517280157e-06,4.025902381769589e-06
cov_daily,ZXLK.TO,0.00012072980205192241,1.4863479785580262e-05,7.12364526326903e-05,-5.034990365051568e-05,-4.5639775928239786e-05,2.9097430269285095e-05,-4.741688499424965e-05,0.00010599443229132954,-4.186446017235055e-06,0.0003639861629938403,2.2871445216122875e-05,-1.667414993649564e-05
cov_daily,ZXLB.TO,8.198773315467531e-06,3.8663950345819406e-05,4.1940038360225297e-05,1.8847686172575798e-05,-2.317911573493233e-05,3.468754443899666e-05,2.453549587330573e-05,4.909881323767524e-05,1.9627355517280157e-06,2.2871445216122875e-05,0.00015180150153135932,1.5003680976057106e-05
cov_daily,ZXLU.TO,6.448272435382957e-06,-1.6193586774908054e-07,-2.283421611418911e-06,3.530150635396914e-05,-5.310962544258939e-07,3.239267103873959e-06,2.6911852519087524e-05,2.648223304574193e-05,4.025902381769589e-06,-1.667414993649564e-05,1.5003680976057106e-05,9.323657477279995e-05
cov_annual,ZSP.TO,0.02084567766815686,0.0016881745294470866,0.010519380716168987,-0.0006097907003821754,-0.010145891760641661,0.005991854975064279,0.003093261959473111,0.016546329610602293,0.0019430949919070606,0.030423910117084448,0.002066090875497818,0.0016249646537165052
cov_annual,ZXLC.TO,0.0016881745294470866,0.028961701871513673,0.014576020266180842,0.004577068979270263,-0.009508663349165319,0.01012592919747385,0.0024577731504866755,0.0034279518382284587,0.002681219783484404,0.003745596905966226,0.00974331548714649,-4.0807838672768295e-05
cov_annual,ZXLY.TO,0.010519380716168987,0.014576020266180842,0.043872003207752086,0.0031769414005495484,-0.012394936170568903,0.007331838513513883,0.0010710435378474695,0.013174595074182886,0.0021615722013086486,0.017951586063437955,0.010568889666776774,-0.0005754222460775656
cov_annual,ZXLP.TO,-0.0006097907003821754,0.004577068979270263,0.0031769414005495484,0.02757481389114583,-0.00044232991455748697,0.006450890920771981,0.012663494453111969,0.00340489510639973,0.004659000385434811,-0.01268817571992995,0.004749616915489101,0.008895979601200223
cov_annual,ZXLE.TO,-0.010145891760641661,-0.009508663349165319,-0.012394936170568903,-0.00044232991455748697,0.05760215481303185,-0.002276923438266121,-0.006276464974675807,-0.008670763594129455,-0.002163126967697832,-0.011501223533916426,-0.0058411371652029465,-0.00013383625611532526
